,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
136,POINT (4.592280099666124 51.128000486164616),1443.0,0.00010499929474733711,0.15151398232040744,4940.8,0.049664429530201344,0.0006021742131642839,0.0844260810427496,0.0025249003089007874
137,POINT (4.579440455768065 51.120627409336585),1440.0,0.0001388881215459223,0.1999988950261281,4940.8,0.0495611770779556,0.0007965276863147908,0.0844260810427496,0.0033328757128395507
138,POINT (4.579574688386211 51.120663067639015),1440.0,0.0001388881215459223,0.1999988950261281,4940.8,0.0495611770779556,0.0007965276863147908,0.0844260810427496,0.0033328757128395507
139,POINT (4.562997712954759 51.11680347359686),104.0,0.0001637015213441225,0.01702495821978874,5125.466666666666,0.0035794183445190158,0.0009388333040369608,0.08758157872852809,0.00029431589415830774
140,POINT (4.5631574345129335 51.11683935133292),104.0,0.0001637015213441225,0.01702495821978874,5125.466666666666,0.0035794183445190158,0.0009388333040369608,0.08758157872852809,0.00029431589415830774
141,POINT (4.635726620318647 51.17495836521728),226.0,0.018227374045503293,4.119386534283744,4898.666666666667,0.007778351402512477,0.10453455568738856,0.08370612633610267,0.06806199607013116
142,POINT (4.635726620318647 51.17495836521728),226.0,0.018227374045503293,4.119386534283744,4898.666666666667,0.007778351402512477,0.10453455568738856,0.08370612633610267,0.06806199607013116
143,POINT (5.696723466812567 50.85989223995473),1149.0,0.008212844530711626,9.436558365787658,9047.8,0.039545689210118744,0.047100918201617645,0.15460457740823141,0.28797240301709814
144,POINT (5.695175959192181 50.85182650778397),3587.0,0.008212844530711626,29.459473331662604,9047.8,0.12345551540182413,0.047100918201617645,0.15460457740823141,0.8990052303066414
145,POINT (5.695175959192181 50.85182650778397),3587.0,0.008212844530711626,29.459473331662604,9047.8,0.12345551540182413,0.047100918201617645,0.15460457740823141,0.8990052303066414
146,POINT (5.698880140048495 50.84210533589633),7477.0,0.0001912592592587586,1.4300454814777381,9047.8,0.2573395284804681,0.001096877786004821,0.15460457740823141,0.043640235959110055
147,POINT (5.698892840831444 50.84191449880778),7477.0,0.0001912592592587586,1.4300454814777381,9047.8,0.2573395284804681,0.001096877786004821,0.15460457740823141,0.043640235959110055
148,POINT (3.503280087246237 50.97636687027645),39.0,0.020533188572459615,0.800794354325925,658.8666666666667,0.0013422818791946308,0.1177584735414455,0.01125840564207543,0.0017795606213707386
149,POINT (3.437758289999224 50.929420277107006),384.0,0.019934958856977054,7.655024201079189,658.8666666666667,0.013216313887454827,0.11432760756202101,0.01125840564207543,0.017011333247157367
150,POINT (3.437758289999224 50.929420277107006),384.0,0.019934958856977054,7.655024201079189,658.8666666666667,0.013216313887454827,0.11432760756202101,0.01125840564207543,0.017011333247157367
151,POINT (3.4517995989155037 50.943571044879356),81.0,0.019934958856977054,1.6147316674151415,658.8666666666667,0.0027878162106350027,0.11432760756202101,0.01125840564207543,0.003588328106822257
